バックオフィスシステム,,,,,,,テーブル設定書,,,,,,,サブシステム名,,,,,テーブルID,,,,,,,テーブル名,,,,,,,Ver.,,,記入年月日,,,,,更新者,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,次世代領域,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,情報系商品最新マスタ,,,,,,,情報系【情報系マスタ】,,,,,DWH_PD,,,,,,,情報系商品最新マスタ,,,,,,,2.0,,,2019/5/20,,,,,CTC 川井,,,,,,アプリ名,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://9w3ch4cil9qm.cybozu.com/k/242/show#record=1&l.view=20&l.q&l.next=0&l.prev=0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,項目名（物理名）,,,,,,,,,項目名称（論理名）,,,,,,,,,型,,,長さ,,小数,,PK,HK,内容,,,,,,,,,,,,,,,,,,4325,商品コード,商品名称,商品規格,年月日,商品区分,許容期間
84,RETENTION_METHOD_TYP,,,,,,,,,保存方法区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
85,SAKEFREQ,,,,,,,,,日本酒度,,,,,,,,,CHAR,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
86,ACIDITY,,,,,,,,,酸度,,,,,,,,,NUMERIC,,,3,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
87,MALTRICE_KIND_NAM,,,,,,,,,麹米品種名称,,,,,,,,,NVARCHAR,,,30,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,
88,MALTRICE_MILRICE_RATE,,,,,,,,,麹米精米歩合,,,,,,,,,INT1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
89,KAKEMAI_KIND_NAM,,,,,,,,,掛米品種名称,,,,,,,,,NVARCHAR,,,30,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,
90,KAKEMAI_MILRICE_RATE,,,,,,,,,掛米精米歩合,,,,,,,,,INT1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
91,WINE_COLER_TYP,,,,,,,,,ワイン色区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
92,JAN_MAKER_CD,,,,,,,,,ＪＡＮメーカーコード,,,,,,,,,CHAR,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
93,PKG,,,,,,,,,荷姿,,,,,,,,,CHAR,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
94,PRICE_LIST_NOAPPLY_FLG,,,,,,,,,価格表対象外フラグ,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
95,INP_ROUTE,,,,,,,,,入力ルート区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
96,IMAGE_RETENTION_TYP,,,,,,,,,画像保存区分,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
